25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25:
25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25:
25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25:
25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25:
25: 25: 25: 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25:
25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25:
1:s 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25:
25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 25: 25: 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25:
25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 1:s 1:s 1:s 25: 25: 25: 25: 1:s 1:s 25: 25: 25: 25: 25: 1:s 1:s 1:s 1:s 1:s 1:s 1:s 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25:
25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 1:s 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25: 25:
